rank,distance,queryIdx,trainIdx
1,0.0,19,3
2,0.0,20,3
3,0.0,33,138
4,0.0,34,138
5,0.0,35,138
6,0.0,36,138
7,0.0,37,138
8,0.0,38,138
9,0.0,44,67
10,0.0,46,3
11,0.0,48,3
12,0.0,58,138
13,0.0,59,138
14,0.0,60,138
15,0.0,62,138
16,0.0,63,138
17,0.0,64,138
18,0.0,73,70
19,0.0,74,3
20,0.0,75,3
21,0.0,76,3
22,0.0,82,138
23,0.0,83,138
24,0.0,84,138
25,0.0,85,138
26,0.0,86,138
27,0.0,88,138
28,0.0,89,138
29,0.0,90,138
30,0.0,91,138
31,0.0,92,138
32,0.0,100,3
33,0.0,101,3
34,0.0,102,3
35,0.0,108,138
36,0.0,109,138
37,0.0,110,138
38,0.0,120,141
39,0.0,128,3
40,0.0,129,3
41,0.0,148,138
42,0.0,154,3
43,0.0,155,3
44,0.0,158,138
45,0.0,159,138
46,0.0,184,138
47,0.0013810679083690047,5,90
48,0.0013810679083690047,6,174
49,0.0013810679083690047,18,41
50,0.0013810679083690047,27,93
51,0.0013810679083690047,61,139
52,0.0013810679083690047,87,141
53,0.0013810679083690047,93,141
54,0.0013810679083690047,118,141
55,0.0013810679083690047,119,141
56,0.0013810679083690047,123,230
57,0.0013810679083690047,130,60
58,0.0013810679083690047,133,199
59,0.0013810679083690047,134,254
60,0.0013810679083690047,146,138
61,0.0013810679083690047,178,113
62,0.0013810679083690047,185,256
63,0.0013810679083690047,204,138
64,0.0023920799139887094,14,84
65,0.0023920799139887094,21,78
66,0.0023920799139887094,47,78
67,0.0027621358167380095,4,61
68,0.0027621358167380095,45,106
69,0.0027621358167380095,54,146
70,0.0027621358167380095,56,231
71,0.0027621358167380095,57,200
72,0.0027621358167380095,94,201
73,0.0027621358167380095,147,199
74,0.0027621358167380095,177,141
75,0.0036539623979479074,30,84
76,0.004143203608691692,2,93
77,0.004143203608691692,3,93
78,0.004143203608691692,53,93
79,0.004143203608691692,65,141
80,0.004143203608691692,66,141
81,0.004143203608691692,68,173
82,0.004143203608691692,78,93
83,0.004143203608691692,122,143
84,0.004143203608691692,132,200
85,0.004143203608691692,156,61
86,0.005524271633476019,111,248
87,0.005524271633476019,131,146
88,0.005524271633476019,145,221
89,0.005524271633476019,181,207
90,0.006019935477524996,72,56
91,0.0069053396582603455,9,143
92,0.0069053396582603455,107,201
93,0.0069053396582603455,149,144
94,0.0069053396582603455,150,112
95,0.007307924795895815,127,2
96,0.008286407217383385,8,230
97,0.008286407217383385,32,202
98,0.008286407217383385,121,144
99,0.008286407217383385,135,248
100,0.009667475707828999,26,149
101,0.009667475707828999,28,62
102,0.009667475707828999,40,112
103,0.009667475707828999,69,146
104,0.009667475707828999,104,93
105,0.010961886495351791,1,121
106,0.011048543266952038,11,112
107,0.011048543266952038,39,200
108,0.011048543266952038,55,113
109,0.011048543266952038,151,111
110,0.011799849569797516,97,204
111,0.013174548745155334,29,204
112,0.013810679316520691,160,253
113,0.01455045398324728,15,60
114,0.01519174687564373,52,93
115,0.01519174687564373,95,111
116,0.01519174687564373,117,256
117,0.015563844703137875,153,179
118,0.016164986416697502,0,38
119,0.01657281443476677,10,143
120,0.01657281443476677,81,143
121,0.016801416873931885,126,130
122,0.017953883856534958,67,143
123,0.01826981082558632,25,23
124,0.01868274062871933,49,1
125,0.020716018974781036,31,146
126,0.020716018974781036,106,118
127,0.021261271089315414,103,1
128,0.022097086533904076,17,151
129,0.022097086533904076,41,118
130,0.022226184606552124,79,177
131,0.023478154093027115,22,48
132,0.023478154093027115,99,56
133,0.023599699139595032,105,177
134,0.024079741910099983,125,205
135,0.024859223514795303,7,113
136,0.024859223514795303,42,88
137,0.024859223514795303,77,21
138,0.02580047771334648,186,247
139,0.027621358633041382,80,203
140,0.028538357466459274,70,108
141,0.02900242619216442,13,146
142,0.03176456317305565,124,87
143,0.03179457038640976,176,283
144,0.03726325184106827,115,275
145,0.038148485124111176,96,87
146,0.040050968527793884,157,203
147,0.04092251509428024,114,275
148,0.04170733690261841,152,233
149,0.043651361018419266,161,247
150,0.04428040608763695,112,275
151,0.045049071311950684,116,275
152,0.04557524248957634,50,103
153,0.04656882584095001,16,122
154,0.04973762482404709,98,66
155,0.04977595806121826,71,178
156,0.052480582147836685,12,203
157,0.05439023673534393,210,190
158,0.06196364015340805,173,192
159,0.06378380954265594,144,274
160,0.06402259320020676,43,177
161,0.07074519991874695,174,192
162,0.07077214866876602,438,424
163,0.0721203163266182,428,402
164,0.07333977520465851,406,366
165,0.07353457063436508,487,445
166,0.07376764714717865,333,385
167,0.07438560575246811,467,425
168,0.07443687319755554,464,422
169,0.07559376209974289,227,213
170,0.07712989300489426,440,402
171,0.07716697454452515,275,264
172,0.07721639424562454,254,239
173,0.07730280607938766,379,327
174,0.07844173908233643,228,329
175,0.07934833317995071,357,425
176,0.07938437908887863,466,402
177,0.07940840721130371,353,290
178,0.07944442331790924,321,265
179,0.07970808446407318,203,190
180,0.07975592464208603,302,290
181,0.07985153049230576,455,407
182,0.0803634375333786,175,190
183,0.0806359201669693,453,407
184,0.08070684969425201,383,327
185,0.08071866631507874,462,393
186,0.08136588335037231,172,274
187,0.0820428729057312,211,274
188,0.08214742690324783,405,327
189,0.08256430178880692,208,407
190,0.08277195692062378,327,209
191,0.08365441858768463,301,358
192,0.0838479995727539,404,327
193,0.08415453135967255,460,407
194,0.08421117812395096,488,445
195,0.08424514532089233,234,471
196,0.08426778018474579,431,327
197,0.0843130350112915,278,298
198,0.08438087999820709,277,209
199,0.0844147801399231,454,407
200,0.08470800518989563,441,427
