rank,distance,queryIdx,trainIdx
1,0.2598299980163574,420,465
2,0.2638609707355499,425,426
3,0.2746066749095917,499,465
4,0.2832511067390442,288,282
5,0.28803348541259766,483,466
6,0.29295769333839417,421,425
7,0.29615268111228943,139,141
8,0.29710736870765686,570,426
9,0.29712221026420593,294,74
10,0.30195266008377075,269,368
11,0.30734196305274963,417,568
12,0.31121259927749634,274,242
13,0.3134576678276062,68,93
14,0.3140743374824524,24,316
15,0.31483322381973267,69,239
16,0.3153720200061798,466,426
17,0.315523624420166,193,276
18,0.3160368502140045,287,46
19,0.3164560794830322,379,464
20,0.3167533278465271,326,74
21,0.3179348111152649,305,345
22,0.32013267278671265,484,466
23,0.3212087154388428,354,315
24,0.3215087652206421,415,466
25,0.3217748999595642,437,504
26,0.3220216929912567,449,440
27,0.32224607467651367,465,426
28,0.3238380253314972,498,573
29,0.32501667737960815,79,267
30,0.32588496804237366,108,72
31,0.32890740036964417,26,148
32,0.3314843475818634,284,209
33,0.3318680226802826,145,80
34,0.3322314918041229,365,287
35,0.3332735300064087,355,291
36,0.3332747519016266,280,43
37,0.3333403170108795,201,72
38,0.3337326943874359,381,466
39,0.3339163362979889,244,181
40,0.33429932594299316,534,476
41,0.33480215072631836,303,271
42,0.3348570764064789,106,282
43,0.33572208881378174,32,267
44,0.33580315113067627,296,100
45,0.3370223641395569,285,21
46,0.3389168381690979,227,101
47,0.34084445238113403,243,184
48,0.34188324213027954,36,46
49,0.34284862875938416,528,600
50,0.3429787755012512,159,144
51,0.34356433153152466,543,431
52,0.3438149392604828,141,71
53,0.3441399931907654,262,176
54,0.34581470489501953,148,368
55,0.346517950296402,167,282
56,0.3466663658618927,186,71
57,0.346787691116333,482,466
58,0.34715962409973145,0,182
59,0.34746086597442627,252,235
60,0.3486097455024719,149,206
61,0.3491811752319336,59,317
62,0.34972935914993286,542,432
63,0.3497627079486847,142,209
64,0.3499049246311188,247,13
65,0.3507172167301178,349,291
66,0.3510048985481262,73,215
67,0.3516971468925476,136,144
68,0.3518243432044983,93,320
69,0.3520653247833252,217,214
70,0.35228776931762695,46,275
71,0.3535204827785492,47,347
72,0.35373756289482117,375,591
73,0.3537653982639313,216,88
74,0.35467931628227234,111,104
75,0.3561098575592041,80,196
76,0.35677871108055115,268,166
77,0.3578135669231415,304,271
78,0.35795438289642334,173,245
79,0.3596971929073334,74,307
80,0.359750896692276,299,134
81,0.360467791557312,102,54
82,0.36159220337867737,424,425
83,0.3618597984313965,1159,1036
84,0.3622594475746155,395,380
85,0.3627724349498749,422,530
86,0.3627748489379883,211,21
87,0.3630238473415375,235,174
88,0.36375877261161804,11,136
89,0.36414241790771484,70,79
90,0.3646479845046997,172,315
91,0.3651873767375946,105,240
92,0.36591264605522156,325,79
93,0.3661070466041565,214,132
94,0.36612266302108765,302,135
95,0.36626648902893066,407,101
96,0.3664853572845459,64,87
97,0.36670583486557007,306,316
98,0.36706262826919556,936,898
99,0.36726444959640503,1122,651
100,0.36748600006103516,250,282
101,0.3677709102630615,229,143
102,0.3681659698486328,293,81
103,0.3684985637664795,360,320
104,0.36866700649261475,1218,785
105,0.36899229884147644,71,181
106,0.3692317008972168,154,130
107,0.3695084750652313,399,383
108,0.3696403503417969,45,239
109,0.3700319528579712,233,271
110,0.3706151843070984,150,275
111,0.3708042502403259,161,31
112,0.37102988362312317,276,57
113,0.371130108833313,184,316
114,0.37134239077568054,120,192
115,0.3715892434120178,13,325
116,0.37167268991470337,22,104
117,0.3719240725040436,275,149
118,0.3721579611301422,358,271
119,0.37257125973701477,98,322
120,0.37276649475097656,194,181
121,0.3732970654964447,270,29
122,0.37373268604278564,251,100
123,0.3740904927253723,52,70
124,0.3744274079799652,234,30
125,0.3751639425754547,117,181
126,0.3757428228855133,213,154
127,0.376225084066391,121,92
128,0.3766046166419983,50,153
129,0.3767085373401642,926,1036
130,0.37690606713294983,445,440
131,0.377812922000885,416,573
132,0.3778822422027588,301,112
133,0.37802472710609436,1224,1157
134,0.378328800201416,1039,1024
135,0.3788345158100128,489,601
136,0.37904539704322815,1220,1071
137,0.37939631938934326,163,57
138,0.37955641746520996,767,1030
139,0.3796778619289398,298,282
140,0.37993791699409485,497,426
141,0.3800107538700104,226,262
142,0.38009390234947205,100,81
143,0.3802039623260498,110,122
144,0.3803594708442688,170,74
145,0.3807811439037323,310,302
146,0.38121119141578674,221,307
147,0.38133445382118225,202,270
148,0.38148969411849976,613,489
149,0.38156312704086304,222,271
150,0.38179728388786316,312,277
151,0.3823701739311218,112,258
152,0.3826637268066406,295,224
153,0.3827091455459595,571,529
154,0.3833876848220825,6,90
155,0.383400022983551,185,241
156,0.38356053829193115,204,70
157,0.3842509686946869,263,259
158,0.3848588168621063,490,416
159,0.3850403130054474,443,561
160,0.3850748836994171,188,161
161,0.38509029150009155,1207,1095
162,0.38516905903816223,67,361
163,0.38546204566955566,171,212
164,0.3856786787509918,183,100
165,0.38579097390174866,9,325
166,0.38581565022468567,458,566
167,0.386345773935318,258,82
168,0.38641783595085144,357,172
169,0.3869349956512451,115,281
170,0.38694706559181213,419,594
171,0.38704463839530945,300,304
172,0.3874281346797943,177,318
173,0.38761597871780396,382,503
174,0.387617826461792,283,274
175,0.387642502784729,1143,1076
176,0.3886546492576599,236,134
177,0.38867878913879395,1144,1077
178,0.388876348733902,151,97
179,0.38940608501434326,257,275
180,0.3894366919994354,212,262
181,0.3897739350795746,1060,898
182,0.38977500796318054,25,348
183,0.3901888132095337,255,294
184,0.39028501510620117,316,120
185,0.3903372585773468,113,312
186,0.3904975950717926,27,203
187,0.3905813992023468,248,311
188,0.3905996084213257,496,466
189,0.3907598555088043,205,8
190,0.39090025424957275,182,91
191,0.39205917716026306,14,198
192,0.3925164043903351,348,325
193,0.3927324712276459,218,288
194,0.3928588628768921,114,235
195,0.3930787742137909,309,68
196,0.3933908939361572,62,114
197,0.3934613764286041,1114,1030
198,0.39350688457489014,48,224
199,0.39379119873046875,199,112
200,0.39384207129478455,207,60
