rank,distance,queryIdx,trainIdx
1,2.1128010749816895,224,224
2,2.1219189167022705,263,267
3,2.1318540573120117,221,224
4,2.1376113891601562,265,265
5,2.1503701210021973,400,352
6,2.154583215713501,266,269
7,2.1563618183135986,264,265
8,2.1563689708709717,258,222
9,2.1565747261047363,401,354
10,2.1604933738708496,318,274
11,2.1624631881713867,226,225
12,2.173839569091797,361,318
13,2.1861839294433594,257,225
14,2.2004480361938477,222,225
15,2.2018892765045166,225,225
16,2.213383436203003,259,224
17,2.222726821899414,296,222
18,2.2237327098846436,302,312
19,2.2247791290283203,300,265
20,2.2276744842529297,298,265
21,2.2278270721435547,362,317
22,2.2310988903045654,261,224
23,2.233781337738037,220,223
24,2.235164165496826,262,266
25,2.2491254806518555,260,225
26,2.249819040298462,402,356
27,2.2608001232147217,418,348
28,2.264355421066284,297,265
29,2.2684385776519775,181,181
30,2.273090362548828,295,265
31,2.2755868434906006,218,181
32,2.28074049949646,253,181
33,2.2854223251342773,365,321
34,2.285527229309082,363,319
35,2.2883570194244385,227,181
36,2.2884538173675537,299,266
37,2.290435791015625,219,225
38,2.2910494804382324,417,350
39,2.292231559753418,293,222
40,2.2941627502441406,294,224
41,2.303462028503418,317,275
42,2.3081910610198975,223,222
43,2.3114278316497803,216,181
44,2.3141262531280518,228,214
45,2.316742420196533,217,181
46,2.317397117614746,229,213
47,2.318056344985962,416,350
48,2.3205926418304443,319,278
49,2.322117328643799,277,190
50,2.324343681335449,276,234
51,2.328404664993286,366,325
52,2.3328657150268555,321,214
53,2.3334121704101562,179,182
54,2.333580732345581,324,277
55,2.3410496711730957,322,276
56,2.342311143875122,275,231
57,2.3428964614868164,180,181
58,2.355003595352173,320,275
59,2.357008218765259,252,181
60,2.3576819896698,360,312
61,2.357707977294922,233,190
62,2.3581888675689697,301,264
63,2.361690044403076,254,181
64,2.374122142791748,408,366
65,2.3791635036468506,364,319
66,2.3854103088378906,184,184
67,2.392292022705078,230,235
68,2.3930110931396484,182,181
69,2.395453691482544,323,280
70,2.3993866443634033,178,178
71,2.4079182147979736,458,442
72,2.4134535789489746,325,280
73,2.4151618480682373,183,183
74,2.4212398529052734,278,190
75,2.42545485496521,280,191
76,2.4310784339904785,279,239
77,2.437385082244873,367,325
78,2.4419732093811035,175,209
79,2.4443182945251465,234,190
80,2.4469659328460693,415,348
81,2.447474241256714,185,184
82,2.457676887512207,326,280
83,2.4583849906921387,235,149
84,2.4630303382873535,368,325
85,2.4639968872070312,187,175
86,2.475393533706665,142,142
87,2.481639862060547,140,142
88,2.482764482498169,189,190
89,2.4841511249542236,236,149
90,2.484978437423706,186,210
91,2.4886929988861084,281,239
92,2.4904470443725586,174,139
93,2.4918200969696045,460,440
94,2.492319345474243,409,362
95,2.4924404621124268,135,142
96,2.493142604827881,463,439
97,2.4981887340545654,176,142
98,2.4988508224487305,188,142
99,2.498866319656372,137,186
100,2.5010340213775635,282,285
101,2.502183198928833,177,177
102,2.503481864929199,292,222
103,2.5036873817443848,193,149
104,2.504005193710327,459,440
105,2.5050888061523438,139,139
106,2.5105087757110596,138,142
107,2.513716697692871,191,194
108,2.520897150039673,192,148
109,2.5274860858917236,94,94
110,2.5333242416381836,97,133
111,2.5434958934783936,63,108
112,2.543938159942627,104,59
113,2.545652389526367,95,95
114,2.5469565391540527,149,149
115,2.5506973266601562,144,144
116,2.5518100261688232,143,210
117,2.5519909858703613,145,146
118,2.5520520210266113,103,148
119,2.5538737773895264,147,93
120,2.5544729232788086,284,235
121,2.555054187774658,195,155
122,2.558858633041382,285,239
123,2.561812162399292,136,136
124,2.5640969276428223,237,201
125,2.5647685527801514,291,225
126,2.565603494644165,141,207
127,2.568674325942993,148,148
128,2.568777084350586,190,190
129,2.574021577835083,146,149
130,2.5741569995880127,462,438
131,2.5755677223205566,98,98
132,2.578721284866333,99,133
133,2.5811269283294678,290,321
134,2.5882489681243896,133,136
135,2.592801094055176,106,108
136,2.5932610034942627,240,149
137,2.596480369567871,101,101
138,2.597864866256714,134,148
139,2.5993683338165283,168,133
140,2.602140188217163,96,146
141,2.609679698944092,194,148
142,2.6137983798980713,102,147
143,2.6142337322235107,153,110
144,2.6207244396209717,128,132
145,2.6219921112060547,129,133
146,2.6222116947174072,107,108
147,2.6241986751556396,130,133
148,2.626849412918091,283,190
