rank,distance,queryIdx,trainIdx
1,22.315914154052734,4309,2621
2,24.556058883666992,5182,3408
3,26.438608169555664,4796,3056
4,26.60826873779297,4375,2692
5,27.694765090942383,4467,2785
6,27.838821411132812,4464,2780
7,28.017850875854492,4271,2596
8,28.24889373779297,3744,2048
9,28.390138626098633,4000,2347
10,28.530685424804688,3834,2166
11,28.896366119384766,3940,2284
12,29.10326385498047,2598,708
13,29.393877029418945,4451,2760
14,29.44486427307129,3874,2205
15,30.049959182739258,4136,2460
16,30.4138126373291,3917,2257
17,31.0,4006,2353
18,31.240999221801758,4236,2556
19,32.2180061340332,4029,2377
20,32.832908630371094,4096,2438
21,32.832908630371094,4172,2504
22,33.70459747314453,4007,2354
23,34.102787017822266,4235,2551
24,34.65544509887695,2996,1194
25,34.77067565917969,4030,2378
26,34.7994270324707,4556,2861
27,36.22154235839844,3806,2139
28,36.24913787841797,4428,2745
29,36.51027297973633,4555,2860
30,36.523963928222656,2784,921
31,36.83748245239258,4795,3063
32,37.08099365234375,3891,2225
33,37.202152252197266,4754,3013
34,37.2558708190918,4477,2763
35,37.269290924072266,4229,2542
36,37.30951690673828,3835,2167
37,38.65229797363281,3553,1805
38,38.79433059692383,2757,911
39,38.85871887207031,4794,3062
40,39.051246643066406,2555,672
41,39.28104019165039,4178,2511
42,39.293766021728516,3840,2169
43,39.38273620605469,3931,2276
44,39.560081481933594,3944,2288
45,39.59798049926758,4022,2363
46,39.74921417236328,3974,2325
47,40.024993896484375,4369,2688
48,40.32368850708008,3148,1399
49,41.29164505004883,4275,2583
50,41.47288131713867,4476,2762
51,41.496986389160156,4340,2670
52,41.62931823730469,3977,2316
53,41.85689926147461,3866,2198
54,41.9761848449707,4618,2912
55,42.0238037109375,4262,2592
56,42.154476165771484,4028,2375
57,42.56759262084961,4552,2852
58,42.86023712158203,4524,2835
59,42.87190246582031,3379,1648
60,43.127716064453125,4179,2512
61,43.15089797973633,4140,2468
62,43.185646057128906,3631,1928
63,43.23193359375,3795,2125
64,43.28972244262695,4570,2874
65,43.33589553833008,4312,2630
66,43.416587829589844,3701,2011
67,43.416587829589844,4543,2849
